sample	unit	platform	fq1	fq2
56	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/56_S61_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/56_S61_L002_R2_001.fastq.gz
57	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/57_S69_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/57_S69_L002_R2_001.fastq.gz
57	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/57_S246_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/57_S246_L002_R2_001.fastq.gz
58	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/58_S77_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/58_S77_L002_R2_001.fastq.gz
58	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/58_S247_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/58_S247_L002_R2_001.fastq.gz
59	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/59_S85_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/59_S85_L002_R2_001.fastq.gz
60	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/60_S93_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/60_S93_L002_R2_001.fastq.gz
61	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/61_S6_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/61_S6_L002_R2_001.fastq.gz
62	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/62_S14_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/62_S14_L002_R2_001.fastq.gz
63	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/63_S22_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/63_S22_L002_R2_001.fastq.gz
64	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/64_S30_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/64_S30_L002_R2_001.fastq.gz
65	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/65_S38_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/65_S38_L002_R2_001.fastq.gz
66	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/66_S46_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/66_S46_L002_R2_001.fastq.gz
67	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/67_S54_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/67_S54_L002_R2_001.fastq.gz
67	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/67_S248_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/67_S248_L002_R2_001.fastq.gz
68	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/68_S62_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/68_S62_L002_R2_001.fastq.gz
68	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/68_S249_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/68_S249_L002_R2_001.fastq.gz
69	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/69_S70_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/69_S70_L002_R2_001.fastq.gz
70	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/70_S78_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/70_S78_L002_R2_001.fastq.gz
71	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/71_S86_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/71_S86_L002_R2_001.fastq.gz
72	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/72_S94_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/72_S94_L002_R2_001.fastq.gz
73	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/73_S7_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/73_S7_L002_R2_001.fastq.gz
74	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/74_S15_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/74_S15_L002_R2_001.fastq.gz
75	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/75_S23_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/75_S23_L002_R2_001.fastq.gz
76	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/76_S31_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/76_S31_L002_R2_001.fastq.gz
77	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/77_S39_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/77_S39_L002_R2_001.fastq.gz
78	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/78_S47_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/78_S47_L002_R2_001.fastq.gz
79	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/79_S55_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/79_S55_L002_R2_001.fastq.gz
80	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/80_S63_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/80_S63_L002_R2_001.fastq.gz
